,,,,Exemption 3 Statutes,,,Dates (mm/dd/yy),,,,,Disposition,,,Appeal,,,Reason for Denial on Appeal - Reason(s) ,,,Request for Expedited Processing,,,,Request for Fee Waiver,,,,
Region 2,EPA-R2-2017-003864,N,20,,,,13-Feb-17,,8-Mar-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003865,N,20,,,,13-Feb-17,13-Feb-17,17-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003866,N,20,,,,13-Feb-17,13-Feb-17,17-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003867,N,20,,,,13-Feb-17,13-Feb-17,17-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003868,N,20,,,,13-Feb-17,13-Feb-17,17-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003869,N,20,,,,13-Feb-17,13-Feb-17,17-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003870,N,20,,,,13-Feb-17,13-Feb-17,17-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003871,N,20,,,,13-Feb-17,,8-Mar-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003872,N,20,,,,13-Feb-17,13-Feb-17,17-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003875,N,20,,,,13-Feb-17,13-Feb-17,17-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003876,N,20,,,,13-Feb-17,13-Feb-17,17-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003877,N,20,,,,13-Feb-17,13-Feb-17,17-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003878,N,20,,,,13-Feb-17,13-Feb-17,23-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003879,N,20,,,,13-Feb-17,13-Feb-17,23-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003880,N,20,,,,13-Feb-17,13-Feb-17,23-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003881,N,20,,,,13-Feb-17,13-Feb-17,23-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003882,N,20,,,,13-Feb-17,13-Feb-17,23-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003886,N,20,,,,13-Feb-17,13-Feb-17,23-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003895,N,20,,,,13-Feb-17,13-Feb-17,,156,Simple,,,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003901,N,20,,,,14-Feb-17,13-Feb-17,23-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003904,N,20,,,,14-Feb-17,13-Feb-17,23-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003912,N,20,,,,14-Feb-17,14-Feb-17,23-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003913,N,20,,,,14-Feb-17,14-Feb-17,23-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003923,N,20,,,,14-Feb-17,14-Feb-17,23-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003943,N,20,,,,14-Feb-17,14-Feb-17,23-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003953,N,20,,,,15-Feb-17,15-Feb-17,23-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003955,N,20,,,,15-Feb-17,15-Feb-17,23-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003958,N,20,,,,15-Feb-17,15-Feb-17,23-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003972,N,20,,,,15-Feb-17,15-Feb-17,23-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003976,N,20,,,,15-Feb-17,15-Feb-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003998,N,20,,,,16-Feb-17,16-Feb-17,23-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-003999,N,20,,,,16-Feb-17,16-Feb-17,23-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004000,N,20,,,,16-Feb-17,16-Feb-17,23-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Caribbean Environmental Protection Division,EPA-R2-2017-004014,N,20,,,,16-Feb-17,2-Mar-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004023,N,20,,,,16-Feb-17,16-Feb-17,21-Apr-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Division of Enforcement and Compliance Assistance,EPA-R2-2017-004031,N,20,,,,16-Feb-17,16-Feb-17,13-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Division of Enforcement and Compliance Assistance,EPA-R2-2017-004036,N,20,,,,16-Feb-17,16-Feb-17,9-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004044,N,20,,,,16-Feb-17,,7-Apr-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004052,N,20,,,,17-Feb-17,17-Feb-17,23-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004053,N,20,,,,17-Feb-17,17-Feb-17,9-Mar-17,,Simple,No records, ,,,,,,,,,,, ,17-Feb-17,24-Feb-17,6,Not Billable,
Region 2,EPA-R2-2017-004054,N,20,,,,17-Feb-17,17-Feb-17,7-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004055,N,20,,,,17-Feb-17,17-Feb-17,7-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004056,N,20,,,,17-Feb-17,17-Feb-17,7-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004058,N,20,,,,17-Feb-17,17-Feb-17,7-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004064,N,30,,,,17-Feb-17,2-Mar-17,,,Complex,,,,,,,,,,,,, ,17-Feb-17,28-Feb-17,10,Not Billable,
Region 2,EPA-R2-2017-004080,N,20,,,,17-Feb-17,17-Feb-17,7-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004098,N,20,,,,20-Feb-17,21-Feb-17,7-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-004099,N,20,,,,20-Feb-17,21-Feb-17,27-Sep-17,28,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004100,N,20,,,,20-Feb-17,21-Feb-17,7-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Clean Air and Sustainability Division,EPA-R2-2017-004101,N,20,,,,20-Feb-17,21-Feb-17,8-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Division of Enforcement and Compliance Assistance,EPA-R2-2017-004108,N,20,,,,20-Feb-17,21-Feb-17,20-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,31.25
Region 2,EPA-R2-2017-004109,N,20,,,,20-Feb-17,21-Feb-17,7-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004125,N,20,,,,21-Feb-17,21-Feb-17,4-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004127,N,20,,,,21-Feb-17,21-Feb-17,7-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004128,N,20,,,,21-Feb-17,21-Feb-17,7-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004129,N,20,,,,21-Feb-17,21-Feb-17,8-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004131,N,20,,,,21-Feb-17,21-Feb-17,9-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004138,N,20,,,,21-Feb-17,21-Feb-17,9-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Clean Air and Sustainability Division,EPA-R2-2017-004155,N,20,,,,21-Feb-17,21-Feb-17,10-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,21-Feb-17,9-Mar-17,15,Not Billable,
Region 2,EPA-R2-2017-004165,N,20,,,,22-Feb-17,22-Feb-17,9-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-004170,N,20,,,,22-Feb-17,22-Feb-17,8-Jun-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004195,N,20,,,,22-Feb-17,22-Feb-17,9-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004198,N,20,,,,22-Feb-17,22-Feb-17,9-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-004199,N,20,,,,22-Feb-17,17-Mar-17,29-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004202,N,20,,,,22-Feb-17,,9-Mar-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004205,N,20,,,,23-Feb-17,22-Feb-17,9-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004213,N,20,,,,23-Feb-17,23-Feb-17,9-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004214,N,20,,,,23-Feb-17,23-Feb-17,9-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004216,N,20,,,,23-Feb-17,23-Feb-17,9-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004230,N,20,,,,23-Feb-17,23-Feb-17,9-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004233,N,20,,,,23-Feb-17,23-Feb-17,9-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004244,N,20,,,,24-Feb-17,24-Feb-17,9-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-004251,N,20,,,,24-Feb-17,13-Mar-17,26-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004254,N,20,,,,24-Feb-17,,9-Mar-17,,Simple,Improper FOIA request for other reason, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004258,N,20,,,,24-Feb-17,24-Feb-17,9-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-004269,N,20,,,,24-Feb-17,28-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004281,N,20,,,,24-Feb-17,24-Feb-17,9-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004297,N,20,,,,27-Feb-17,27-Feb-17,16-Aug-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004305,N,20,,,,27-Feb-17,27-Feb-17,9-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004306,N,20,,,,27-Feb-17,27-Feb-17,9-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004307,N,20,,,,27-Feb-17,27-Feb-17,9-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004309,N,20,,,,27-Feb-17,27-Feb-17,9-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004311,N,20,,,,27-Feb-17,27-Feb-17,9-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-004314,N,20,,,,27-Feb-17,27-Feb-17,22-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Clean Air and Sustainability Division,EPA-R2-2017-004315,N,20,,,,27-Feb-17,27-Feb-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004316,N,20,,,,27-Feb-17,27-Feb-17,9-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004320,N,20,,,,27-Feb-17,27-Feb-17,9-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004322,N,20,,,,27-Feb-17,27-Feb-17,17-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004324,N,20,,,,27-Feb-17,27-Feb-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004331,N,20,,,,27-Feb-17,27-Feb-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004332,N,20,,,,27-Feb-17,27-Feb-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004335,N,20,,,,27-Feb-17,27-Feb-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004351,N,20,,,,28-Feb-17,28-Feb-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004356,N,20,,,,28-Feb-17,28-Feb-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Division of Enforcement and Compliance Assistance,EPA-R2-2017-004357,N,20,,,,28-Feb-17,28-Feb-17,21-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004394,N,20,,,,28-Feb-17,,7-Apr-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004406,N,20,,,,1-Mar-17,1-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004410,N,20,,,,1-Mar-17,1-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004412,N,20,,,,1-Mar-17,1-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004413,N,20,,,,1-Mar-17,1-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004414,N,20,,,,1-Mar-17,1-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004415,N,20,,,,1-Mar-17,,7-Apr-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,1-Mar-17,6-Apr-17,35,Withdrawn by Requester,
Region 2,EPA-R2-2017-004425,N,20,,,,1-Mar-17,1-Mar-17,4-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004429,N,20,,,,1-Mar-17,1-Mar-17,26-Jun-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-004438,N,20,,,,1-Mar-17,1-Mar-17,,139,Simple,, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-004439,N,20,,,,1-Mar-17,8-Mar-17,,18,Simple,,,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-004440,N,20,,,,1-Mar-17,1-Mar-17,,138,Simple,, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-004441,N,20,,,,1-Mar-17,1-Mar-17,,138,Simple,, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-004442,N,20,,,,1-Mar-17,1-Mar-17,,138,Simple,, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-004443,N,20,,,,1-Mar-17,1-Mar-17,,138,Simple,, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004444,N,20,,,,1-Mar-17,1-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004462,N,20,,,,2-Mar-17,2-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004476,N,20,,,,2-Mar-17,2-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004482,N,20,,,,2-Mar-17,2-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004491,N,20,,,,2-Mar-17,2-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004495,N,20,,,,3-Mar-17,2-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004508,N,20,,,,3-Mar-17,3-Mar-17,17-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004510,N,20,,,,3-Mar-17,3-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004511,N,20,,,,3-Mar-17,3-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004512,N,20,,,,3-Mar-17,3-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004521,N,20,,,,3-Mar-17,3-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004522,N,20,,,,3-Mar-17,3-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004535,N,20,,,,3-Mar-17,3-Mar-17,7-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004544,N,20,,,,4-Mar-17,,17-Mar-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004556,N,20,,,,6-Mar-17,6-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Division of Enforcement and Compliance Assistance,EPA-R2-2017-004566,N,20,,,,6-Mar-17,6-Mar-17,22-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004579,N,20,,,,6-Mar-17,6-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004587,N,20,,,,6-Mar-17,6-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004591,N,20,,,,6-Mar-17,6-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004592,N,20,,,,6-Mar-17,6-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004599,N,20,,,,6-Mar-17,6-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004604,N,20,,,,6-Mar-17,6-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004606,N,20,,,,6-Mar-17,6-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004607,N,20,,,,6-Mar-17,6-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004609,N,20,,,,6-Mar-17,6-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004610,N,20,,,,6-Mar-17,6-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004611,N,20,,,,6-Mar-17,6-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004612,N,20,,,,6-Mar-17,6-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004619,N,20,,,,6-Mar-17,6-Mar-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004627,N,20,,,,7-Mar-17,7-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004628,N,20,,,,7-Mar-17,7-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004632,N,20,,,,7-Mar-17,7-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004635,N,20,,,,7-Mar-17,7-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Clean Air and Sustainability Division,EPA-R2-2017-004640,N,20,,,,7-Mar-17,7-Mar-17,30-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004641,N,20,,,,7-Mar-17,7-Mar-17,20-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004649,N,20,,,,7-Mar-17,7-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004653,N,20,,,,7-Mar-17,7-Mar-17,20-Mar-17,137,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004654,N,20,,,,7-Mar-17,7-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004655,N,20,,,,7-Mar-17,7-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004657,N,20,,,,7-Mar-17,7-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-004659,N,20,,,,7-Mar-17,7-Mar-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004661,N,20,,,,7-Mar-17,7-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004670,N,20,,,,8-Mar-17,8-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-004673,N,20,,,,8-Mar-17,8-Mar-17,2-Aug-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004682,N,20,,,,8-Mar-17,8-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004686,N,20,,,,8-Mar-17,8-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004687,N,20,,,,8-Mar-17,8-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004690,N,20,,,,8-Mar-17,8-Mar-17,25-Jul-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004694,N,20,,,,8-Mar-17,8-Mar-17,21-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004697,N,20,,,,8-Mar-17,8-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004701,N,20,,,,8-Mar-17,8-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004710,N,20,,,,8-Mar-17,8-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004714,N,20,,,,8-Mar-17,8-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004715,N,20,,,,8-Mar-17,8-Mar-17,21-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Clean Air and Sustainability Division,EPA-R2-2017-004716,N,20,,,,9-Mar-17,8-Mar-17,30-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004721,N,20,,,,9-Mar-17,9-Mar-17,21-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Clean Air and Sustainability Division,EPA-R2-2017-004734,N,20,,,,9-Mar-17,9-Mar-17,28-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004736,N,20,,,,9-Mar-17,9-Mar-17,21-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004750,N,20,,,,9-Mar-17,,20-Mar-17,,Simple,Duplicate request, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004759,N,20,,,,9-Mar-17,9-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Emergency and Remedial Response Division,EPA-R2-2017-004767,N,20,,,,9-Mar-17,9-Mar-17,12-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004785,N,20,,,,10-Mar-17,,7-Apr-17,,Simple,Improper FOIA request for other reason, ,,,,,,,,,,, ,,,, ,
Region 2,EPA-R2-2017-004797,N,20,,,,10-Mar-17,10-Mar-17,20-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
