,City,Country,Distance,Fax,FridayHours,Latitude,Longitude,MondayHours,Name,Phone,SaturdayHours,Services,State,Street,SundayHours,ThursdayHours,TuesdayHours,Website,WednesdayHours,ZipCode
708,Hagerstown,United States,0,,,39.639802,-77.725865,,Hagerstown Area Pregnancy Clinic (HB),301-739-8717,,"Pregnancy Tests, Ultrasound (Onsite)",MD,109 W Baltimore St,,,,,,21740
709,Laurel,United States,0,,Closed,39.106533,-76.848900,2:45pm-8pm,Laurel Pregnancy Center,(301) 776-9996,10am-12pm (2nd & 4th),"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests",MD,415 Main St.,Closed,3pm-7pm,12-2pm,http://laurelpregnancycenter.org,10:45am-3pm & 7pm-9pm,20707
710,Leonardtown,United States,0,,9am-5pm,38.298968,-76.639626,Closed,Care Net Pregnancy Center of Southern Maryland-Leonardtown,(301) 475-5333,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, Support for Men, Ultrasound (Onsite), Ultrasound Referrals",MD,25482 Pt. Lookout Rd. Unit 201A,Closed,1pm-8pm,Closed,http://carenetsomd.org,9am-5pm,20650
711,Lexington Park,United States,0,,Closed,38.259144,-76.439577,9am-5pm,Care Net Pregnancy Center of Southern Maryland,(301) 737-4604,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, Support for Men, Ultrasound (Onsite), Ultrasound Referrals",MD,21562 Thames Ave,Closed,9am-5pm,9am-5pm,http://www.carenetsomd.org,1pm-8pm,20653
712,Prince Frederick,United States,0,,Closed,38.507165,-76.556030,9am-8pm,Care Net Pregnancy Center of Southern Maryland-Prince Frederick,(410) 326-6866,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite), Ultrasound Referrals",MD,2196 Solomon's Island Rd,Closed,Closed,9am-5pm,http://carenetsomd.org,9am-5pm,20678
713,Reisterstown,United States,0,410-517-2442,9:30am-12:30pm,39.462379,-76.828172,9am-12pm & 6pm-8pm,Alpha Pregnancy Center,(410) 833-7793,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, Ultrasound (Onsite)",MD,"301 Main St, Ste. 1B",Closed,9am-12:30pm & 6pm-8pm,10:30am-1:30pm & 6pm-8pm,http://www.alpha-pregnancycenter.org,Closed,21136
714,Salisbury,United States,0,,Closed,38.339753,-75.599807,10am-4pm,Eastern Shore Pregnancy Center,(410) 546-5433,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite)",MD,1300 S. Division St. Suite C,Closed,Closed,10am-7pm,http://easternshorepregnancycenter.org,10am-4pm,21804
715,Severna Park,United States,0,,9am-5pm,39.071618,-76.541191,9am-5pm,Severna Park Pregnancy Clinic,(410) 431-5000,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Ultrasound (Onsite)",MD,650 Ritchie Hwy #307,Closed,9am-5pm,9am-5pm,http://pregnancyclinic.org/,9am-5pm,21146
716,Silver Spring,United States,0,,,39.056160,-77.049340,,Centro Tepeyac Women's Center (HB),301-587-9516,,Pregnancy Tests,MD,12247 Georgia Ave,,,,,,20902
717,Temple Hills,United States,0,,,38.842168,-76.949147,,Forestville Pregnancy Center (HB),301-423-0063,,"Pregnancy Tests, Ultrasound (Onsite)",MD,"3611 Branch Avenue, Suite 102",,,,,,20748
718,Waldorf,United States,0,,9:30am-4pm,38.625672,-76.907604,9:30am-4pm,The Catherine Foundation,(301) 932-8811,10am-1pm,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, Support for Men, Ultrasound (Onsite)",MD,3065 Old Washington Rd.,Closed,9:30am-4pm,"9:30am-4pm, 6:30pm-8:30pm",http://www.catherinefoundation.org,9:30am-4pm,20601
719,Athol,United States,0,,,42.593005,-72.237213,,Problem Pregnancy of North Quabbin (HB),978-249-4300,,"Pregnancy Tests, Ultrasound (Onsite)",MA,105 Main St,,,,,,1331
720,Attleboro,United States,0,,,41.938448,-71.274326,,Abundant Hope Pregnancy Resource Center (HB),508-455-0425,,Pregnancy Tests,MA,182 East Street,,,,,,2703
721,Boston,United States,0,(617) 742-9175,9am-5:30pm,42.351379,-71.058085,11am-7pm,Boston Center for Pregnancy Choices,(617) 742-9170,Closed,"24-Hour Helpline, Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound Referrals",MA,"120 Lincoln St, Suite 1A",Closed,Closed,12pm-6pm,http://www.bostonpregnancychoices.org,9:30am-5:30pm,2111
722,Clinton,United States,0,,Closed,42.416174,-71.685541,10am-8pm,First Concern Pregnancy Resource Center,(978) 365-9817,1pm-4pm,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound Referrals",MA,116 Union St,Closed,10am-4pm,10am-4pm,http://firstconcern.org,10am-4pm,01510
723,Easthampton,United States,0,,,42.267441,-72.660596,,Bethlehem House (HB),413-527-2861,,Pregnancy Tests,MA,33 Knipfer Ave,,,,,,1027
724,Fitchburg,United States,0,(978) 345-4702,10am-4pm,42.583443,-71.799998,10am-4pm,Care Net Pregnancy Resource Center of North Central MA. Inc.,(978) 342-4244,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite)",MA,"515 Main St, Suite 1000",Closed,10am-4pm,10am-4pm,http://carenetfitchburg.net,10am-4pm,01420
725,Greenfield,United States,0,,,42.587643,-72.596937,,Alternatives Pregnancy Center (HB),413-774-6010,,Pregnancy Tests,MA,466 Main Street,,,,,,1301
726,Haverhill,United States,0,,,42.787830,-71.081788,,Pregnancy Care Center - Haverhill (HB),978-373-5700,,Pregnancy Tests,MA,496 Main St,,,,,,1830
727,Haverhill,United States,0,,,42.787830,-71.081788,,Pregnancy Care Center (HB),978-373-5700,,Pregnancy Tests,MA,496 Main Street,,,,,,1830
728,Lawrence,United States,0,,,42.700344,-71.182329,,Pregnancy Care Center (HB),978-686-5124,,Pregnancy Tests,MA,128 Ames St,,,,,,1841
729,North Adams,United States,0,,12pm-4pm,42.697762,-73.108474,Closed,New Direction Women's Center,(413) 346-4291,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound (Onsite)",MA,98 Church Street,Closed,12pm-4pm,12pm-4pm,http://newdirectionpc.org/,12pm-4pm,1247
730,Worcester,United States,0,,,42.263656,-71.818798,,Problem Pregnancy (HB),508.507.8378,,"Pregnancy Tests, Ultrasound (Onsite)",MA,495 Pleasant St,,,,,,1602
731,Adrian,United States,0,(517) 263-5601,Closed,41.900936,-84.032226,9am-5pm,Care Pregnancy Center of Lenawee,(517) 263-5701,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite), Ultrasound Referrals",MI,308 N. Broad St.,Closed,10pm-8pm,10am-8pm,http://www.cpclenawee.com,9am-5pm,49221
732,Allendale,United States,0,,9am-12pm,42.972248,-85.899482,10am-6pm,Positive Options,(616) 895-1893,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite)",MI,4623 Lake Michigan Dr.,Closed,10am-4pm,10am-4pm,http://www.lpcenters.com/,12pm-4pm,49401
733,Alma,United States,0,,,43.378807,-84.665269,,Pregnancy Services of Gratiot County (HB),989-466-2295,,Pregnancy Tests,MI,303 W. Superior St.,,,,,,48801
734,Alpena,United States,0,,Closed,45.066410,-83.438326,1pm-6pm,Options Pregnancy Center,(989) 354-6089,Closed,"24-Hour Helpline, Abortion Information, Adoption Information, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, Support for Men, Ultrasound Referrals",MI,526 W Chisholm St,Closed,10am-4pm,10am -4pm,http://optionspregnancycenter.org,Closed,49707
735,Ann Arbor,United States,0,,,42.279555,-83.741288,,ArborWoman (HB),734-994-8863,,"Pregnancy Tests, Ultrasound (Onsite)",MI,625 E Liberty St Ste 10,,,,,,48104
736,Auburn Hills,United States,0,,,42.621245,-83.225630,,"Crossroads Care Center, Inc (HB)",248-293-0070,,"Pregnancy Tests, STD/STI Tests, STD/STI Treatment, Ultrasound (Onsite)",MI,3205 South Blvd,,,,,,48326
737,Bad Axe,United States,0,,Closed,43.802128,-83.030519,10am-4pm,Positive Alternatives - Bad Axe,(989) 269-6760,Closed,"24-Hour Helpline, Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Pregnancy Tests, STD/STI Information",MI,132 E. Huron Ave,Closed,12pm-5pm,12pm-5pm,http://www.mypositivealternative.com/,12pm-5pm,48413
738,Bay City,United States,0,,,43.600649,-83.957918,,Beacon of Hope Pregnancy Care Center (HB),989-922-5433,,Pregnancy Tests,MI,2360 Midland Rd.,,,,,,48706
739,Berkley,United States,0,248-545-0103,Closed,42.498054,-83.183710,10am-8pm,Care Net Pregnancy Center Berkley,(248) 545-6411,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite), Ultrasound Referrals",MI,2826 Coolidge Hwy,Closed,10am-5pm,10am-5pm,http://carenetberkleydetroit.org/,10am-2pm,48072
740,Big Rapids,United States,0,,Closed,43.673688,-85.483395,10am-5pm,"Life Resources of Northern Michigan, Inc.",(231) 796-4919,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite)",MI,14321 Northland Drive,Closed,10am-5pm,10am-5pm,http://www.liferesourcesnm.org,10am-5pm,49307
741,Brighton,United States,0,,,42.563261,-83.796730,,Pregnancy Help Clinic (HB),810-494-5433,,"Pregnancy Tests, STD/STI Tests, STD/STI Treatment, Ultrasound (Onsite)",MI,7743 Grand River Rd Ste 101,,,,,,48116
742,Cadillac,United States,0,,Closed,44.243994,-85.386354,10am-5pm,Sound Choices Medical Clinic,(231) 775-8000,Closed,"Abortion Information, Adoption Information, Housing Referrals, Medical Referrals, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Ultrasound (Onsite)",MI,909 S. Carmel St Suite 1,Closed,10am-5pm,Closed,http://www.soundchoicesclinic.org/,10am-5pm,49601
743,Cadillac,United States,0,,,44.251849,-85.403788,,"Life Resources of Northern MI, Inc. (HB)",231-775-1545,,"Pregnancy Tests, STD/STI Tests, STD/STI Treatment, Ultrasound (Onsite)",MI,419 N Lake St,,,,,,49601
744,Cadillac,United States,0,(231) 775-8080,Closed,44.252631,-85.404228,10am-5pm,"Life Resources of Northern Michigan, Inc.",(231) 775-1545,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, STD/STI Information, Support for Men",MI,909 S. Carmel St. Ste 2,Closed,10am-5pm,10am-5pm,http://www.liferesouresnm.org,10am-5pm,49601
745,Caro,United States,0,,Closed,43.515396,-83.361492,10am-5pm,Positive Alternatives - Caro,(989) 672-4673,Closed,"24-Hour Helpline, Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information",MI,1596 East Caro Rd,Closed,10am-2pm,12am-4:30pm,http://www.mypositivealternative.com/,10am-5pm,48723
746,Cedar Springs,United States,0,,,43.223755,-85.549832,,Alpha Family Center of Cedar Springs (HB),616-696-2616,,Pregnancy Tests,MI,6 N First St,,,,,,49319
747,Clare,United States,0,,,43.843612,-84.776881,,Hope Pregnancy Center (HB),989-289-4901,,Pregnancy Tests,MI,3557 E Colonville Rd,,,,,,48617
748,Clinton Township,United States,0,,10am-4pm,42.573401,-82.888822,10am-4pm,Compassion Pregnancy Center (HB),(586) 783-9620,Closed,"Pregnancy Tests, Ultrasound (Onsite)",MI,37540 S Gratiot  Suite 100,Closed,10am-7pm,10am-7pm,,10am-4pm,48036
749,Coldwater,United States,0,5179241111,Closed,41.947144,-85.000447,"10am-1pm, 6pm-8pm",Beginnings Care for Life Center,(517) 278-3355,10am-12pm,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, Support for Men, Ultrasound (Onsite)",MI,213 N. Marshall St,Closed,"10am-1pm, 6pm-8pm",10am-1pm,http://www.beginningscare.com,10am-1pm,49036
750,Dearborn Heights,United States,0,,,42.349826,-83.275820,,The Lennon Pregnancy Center (HB),313-277-5637,,"Pregnancy Tests, Ultrasound (Onsite)",MI,24275 Ann Arbor Trail,,,,,,48127
751,Detroit,United States,0,,,42.397778,-82.920301,,Pregnancy Aid Detroit (HB),313-882-1000,,"Pregnancy Tests, Ultrasound (Onsite)",MI,17325 Mack Ave,,,,,,48224
752,Detroit,United States,0,(313) 243-1268,Closed,42.386214,-83.181051,10am-4pm,Care Net Pregnancy Center Detroit,(313) 243-1267,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite), Ultrasound Referrals",MI,13864 Grand River Ave,Closed,10am-4pm,12pm-4pm,http://carenetberkleydetroit.org,Closed,48227
753,East Lansing,United States,0,,,42.731659,-84.469910,,Pregnancy Services (HB),517-332-0633,,"Pregnancy Tests, Ultrasound (Onsite)",MI,1045 E Grand River Ave,,,,,,48823
754,Escanaba,United States,0,,,45.745633,-87.072572,,Pregnancy Services of Delta Cty (HB),906-786-7474,,Pregnancy Tests,MI,1801 Ludington St.,,,,,,49829
755,Farmington Hills,United States,0,2484792573,10am-4pm,42.499601,-83.362042,10 am-4 pm,A Woman's Pregnancy Choice,(248) 471-5858,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite)",MI,31700 W 12 Mile Rd Ste 102,Closed,10 am-8 pm,10 am-8 pm,http://answers4pregnancy.com,10 am-4 pm,48334
756,Flint,United States,0,,,42.975676,-83.777629,,Pregnancy Care Center (HB),810-767-1262,,Pregnancy Tests,MI,5154 Miller Road,,,,,,48507
757,Gaylord,United States,0,,10am-4pm,45.020478,-84.677643,10am-4pm,New Life Pregnancy Resource Center,(989) 732-1626,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, Ultrasound Referrals",MI,705 S. Ostego Ave,Closed,Closed,Closed,http://gaylordnewlife.com,10am-4pm,49734
758,Grand Haven,United States,0,6168427534,10am-2pm,43.060981,-86.222763,10am-6pm,Positive Options,(616) 842-7510,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite), Ultrasound Referrals",MI,700 Washington Ave Ste 130,Closed,10am-6pm,12pm-6pm,http://www.mypositiveoptions.org,Closed,49417
759,Grand Rapids,United States,0,,9:30am-12pm,42.959844,-85.658415,9:30am-12pm   1pm-6pm,Pregnancy Resource Center of Grand Rapids - Pregnancy & Medical Services,(616) 456-6873,Closed,"24-Hour Helpline, Abortion Information, Adoption Information, Medical Referrals, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Ultrasound (Onsite)",MI,415 Cherry St SE,Closed,9:30am-12pm   1pm-4pm,1-6pm,http://www.prcgr.org/,9:30am-12pm   1pm-4pm,49503
760,Grand Rapids,United States,0,(616) 742-0270,9am-2pm,42.932338,-85.667590,9am-5pm,Alpha Women's Center of Grand Rapids,(616) 459-9955,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, Support for Men, Ultrasound (Onsite)",MI,1725 Division Ave S,Closed,9am-5pm,9am-8pm,https://www.alphawc.org/,9am-5pm,49507
761,Grand Rapids,United States,0,,,42.970902,-85.685506,,"HELP Pregnancy Crisis Aid, Inc. (HB)",616-459-9139,,"Pregnancy Tests, Ultrasound (Onsite)",MI,705 Bridge St NW,,,,,,49504
762,Greenville,United States,0,,,43.188057,-85.270671,,Alpha Family Center of Greenville (HB),616-225-2265,,Pregnancy Tests,MI,705 N Hillcrest St,,,,,,48838
763,Gwinn,United States,0,,,46.334814,-87.354602,,Sawyer Care Clinic (HB),906-346-2606,,"Pregnancy Tests, Ultrasound (Onsite)",MI,330 Fortress St,,,,,,49841
764,Holland,United States,0,6163961008,10am-2pm,42.784606,-86.108575,10am-6pm,Positive Options - Holland,(616) 396-5840,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, Support for Men, Ultrasound (Mobile), Ultrasound (Onsite)",MI,339 S. River Ave,Closed,10am-6pm,12pm-6pm,http://www.mypositiveoptions.org/,12pm-6pm,49423
765,Holland,United States,0,,9am-12pm,43.091893,-86.178532,10am-6pm,Positive Options,(269) 686-7111,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite)",MI,114 Chestnut St.,Closed,10am-6pm,12pm-6pm,http://www.mypositiveoptions.org/,12pm-6pm,49423
766,Houghton,United States,0,,,47.122060,-88.570934,,Life Outreach Center (HB),906-482-8681,,Pregnancy Tests,MI,"222 Shelden Ave, Suite 1",,,,,,49931
767,Ionia,United States,0,,Closed,42.986491,-85.044587,10 am - 2 pm,Positive Solutions-Informed Choices PSIC,(616) 755-6077,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound Referrals",MI,330 Lovell St,Closed,10am-2pm,Closed,http://www.psicionia.org,1 pm - 7 pm,48846
768,Iron Mountain,United States,0,,,45.813472,-88.064722,,Walk of Life Pregnancy Services (HB),906-774-5683,,Pregnancy Tests,MI,1018 Cedar Ave,,,,,,49801
769,Ironwood,United States,0,,12pm-5pm,46.453242,-90.170924,Closed,New Beginnings Pregnancy Support Services,(906) 932-0414,Closed,Support for Men,MI,126 W. Aurora St,Closed,12pm-5pm,12pm-5pm,http://www.ironwoodpregnancy.com,12pm-5pm,49938
770,Jackson,United States,0,,,42.268670,-84.391000,,"Birthline of Jackson, Inc. (HB)",517-784-9187,,Pregnancy Tests,MI,1000 E Porter St.  Ste 1,,,,,,49202
771,Lansing,United States,0,(517) 484-4788,Closed,42.738853,-84.557204,9am-4pm,Shared Pregnancy Women's Center,(517) 484-1882,Closed,"24-Hour Helpline, Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, Support for Men, Ultrasound (Onsite), Ultrasound Referrals",MI,503 N Walnut St,Closed,9am-4pm,9am-4pm,http://www.sharedpregnancy.org/index.php/clients,9am-4pm,48933
772,Lapeer,United States,0,810-667-9794,9am-3pm,43.044115,-83.277936,9am-5pm,Pregnancy Resource Center of Lapeer,(810) 667-0055,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information",MI,1715 Imlay City Rd,Closed,Closed,Closed,http://prcol4life.org,9am-5pm,48446
773,Livonia,United States,0,,10am-2pm,42.383555,-83.360533,10am-4:30pm,AAA Pregnancy Resource Center,(734) 425-8060,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite)",MI,32080 Schoolcraft,Closed,10-7pm,10am-2pm,http://www.aaapregnancyinfo.com/,10am-4:30pm,48150
774,Lowell,United States,0,,,42.935589,-85.333470,,Alpha Family Center of Lowell (HB),616-987-9533,,"Pregnancy Tests, Ultrasound (Onsite)",MI,517 E. Main St.,,,,,,49331
775,Ludington,United States,0,,,43.963258,-86.440881,,West Shore Pregnancy & Family Support (HB),231-843-7094,,Pregnancy Tests,MI,603 E Tinkham Ave,,,,,,49431
776,Manistee,United States,0,,,44.244278,-86.323603,,Lighthouse Pregnancy Care Center (HB),231-398-7984,,Pregnancy Tests,MI,215 Maple St,,,,,,49660
777,Marquette,United States,0,,,46.555146,-87.394815,,Care Clinic (HB),906-228-2273,,"Pregnancy Tests, Ultrasound (Onsite)",MI,1213 N 3rd St,,,,,,49855
778,Midland,United States,0,(989) 835-3411,Closed,43.641268,-84.285643,8:30am-4:30pm,Pregnancy Resource Center of Mid-Michigan,(989) 835-1500,Closed,"24-Hour Helpline, Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Support for Men, Ultrasound (Onsite)",MI,4818 N Saginaw Rd.,Closed,8:30am-4:30pm,8:30am-4:30pm,http://prcmidland.org,8:30am-4:30pm,48640
779,Monroe,United States,0,,,41.916301,-83.400429,,Heartbeat of Monroe (HB),734-243-6550,,"Pregnancy Tests, Ultrasound (Onsite)",MI,123 W First St,,,,,,48161
780,Mount Pleasant,United States,0,,Closed,43.589868,-84.766101,"9am-12pm, 1pm-5pm",Life Choices of Central Michigan,(989) 773-6008,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Support for Men, Ultrasound (Onsite), Ultrasound Referrals",MI,904 E Preston,Closed,"9am-12pm, 1pm-5pm","9am-12pm, 1pm-5pm",http://www.lifechoicescm.com,"9am-12pm, 1pm-5pm",48858
781,Muskegon,United States,0,,Closed,43.238931,-86.200462,9am-5pm,Muskegon Pregnancy Services,(231) 726-2677,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Support for Men, Ultrasound (Onsite), Ultrasound Referrals",MI,1775 Wells Ave.,Closed,9am-5pm,9am-7pm,http://www.bestoptions.org,9am-5pm,49442
782,Newaygo,United States,0,,Closed,43.392053,-85.799664,10 am-5 pm,Insight Pregnancy Services,(231) 652-1548,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound Referrals",MI,25 Maple Ridge Rd.,Closed,10 am-5 pm,10 am-7 pm,http://Insightpregnancy.com,10 am-5 pm,49337
783,Niles,United States,0,(269) 683-9910,9am-4pm,41.829968,-86.252787,9am-4pm & 6pm-8pm,Pregnancy Care Center,(269) 684-1896,Closed,"Abortion Information, Adoption Agency, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Maternity Home, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite)",MI,527 E Main St,Closed,9am-4pm & 6pm-8pm,9am-4pm,http://pccniles.com,9am-4pm & 6pm-8pm,49120
784,Owosso,United States,0,,closed,42.998744,-84.171925,2pm-7pm,"Family Life Services, Inc.",(989) 723-4025,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Pregnancy Options Information, Pregnancy Tests, Support for Men, Ultrasound Referrals",MI,224 N. Ball St,Closed,12pm-5pm,2pm-7pm,http://flsowosso.com,10am-3pm,48867
785,Oxford,United States,0,,,42.825627,-83.266134,,Oxford Pregnancy Center (HB),248-969-2177,,"Pregnancy Tests, Ultrasound (Onsite)",MI,35 N Washington St,,,,,,48371
786,Port Huron,United States,0,,,42.967401,-82.436385,,Blue Water Pregnancy Care Center (HB),810-985-4673,,"Pregnancy Tests, Ultrasound (Onsite)",MI,1211 Griswold St,,,,,,48060
787,Redford,United States,0,,,42.399423,-83.294474,,Pregnancy Care Center (HB),313-952-2147,,Pregnancy Tests,MI,25545  5  Mile Rd,,,,,,48239
788,Saginaw,United States,0,,,43.415069,-83.974620,,Pregnancy Care Center (HB),989-752-8391,,Pregnancy Tests,MI,916 Gratiot Ave,,,,,,48602
789,Saginaw,United States,0,,Closed,43.424377,-83.935093,11:00am-3:00pm,Pregnancy Resource Center of Mid-Michigan - Saginaw,(989) 754-0091,Closed,"Pregnancy Tests, STD/STI Tests, Ultrasound (Onsite)",MI,723 Emerson St,Closed,11:00am-3:00pm,11:00am-3:00pm,http://www.prcmidland.org,11:00am-3:00pm,48607
790,Sault Ste. Marie,United States,0,(906) 635-0561,Closed,46.486762,-84.353618,12pm-5pm,Care Net Pregnancy Center of the EUP,(906) 635-1103,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, Support for Men, Ultrasound (Onsite)",MI,1420 Ashmun St.,Closed,12pm-5pm,12pm-5pm,http://euppregnancyoptions.com,12pm-5pm,49783
791,Sturgis,United States,0,,,41.814620,-85.418273,,Sturgis Pregnancy Helpline (HB),269-659-1100,,"Pregnancy Tests, Ultrasound (Onsite)",MI,1125 N. Nottawa,,,,,,49091
